Time,Queue Size,Packet Loss,Link Utilization,Global Sync Detected,Average Queue Depth,Times Problem Detected,Average Time Difference between Problem,Variance of Time Difference
538,111,29,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
539,101,29,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
540,94,29,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
541,96,29,94.000000,0.000000,0.000000,7,62999.500000,28022004.000000
542,99,29,96.000000,0.000000,0.000000,7,62999.500000,28022004.000000
543,102,29,99.000000,0.000000,0.000000,7,62999.500000,28022004.000000
544,106,29,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
545,112,29,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
546,120,29,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
547,130,29,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
548,142,29,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
549,156,29,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
550,172,29,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
551,190,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
552,171,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
553,155,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
554,142,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
555,132,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
556,125,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
557,121,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
558,120,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
559,122,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
560,127,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
561,134,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
562,143,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
563,154,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
564,167,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
565,181,30,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
